File ,Layer name,Description
DRECPconservation_intactness.r,DRECP Conservation and Intactness Land Value,"The conservation value (high, moderate, or low) and the terrestrial intactness value (high, moderate, or low) of the DRECP landscape (Conservation Biology Institute)"
Mojave_ColoradoConservationvalue.r,Mojave and Colorado Deserts Conservation Land Value,"The conservation value (high, moderate, or low) of the Mojave and Colorado Deserts located within the study area (Randall et al. 2010)."
TerrestrialNativeSpeciesRichness.r,Terrestrial Native Species Richness,"The total number of native terrestrial species, both common and rare, ranked 1-5, possibly present in California within the study area, based on species range and distribution (California Department of Fish and Wildlife Areas of Conservation Emphasis Project). "
BLMDesertNationalConservationLands.r,BLM LUPA California Desert National Conservation Lands," The location of BLM lands with outstanding ecological, cultural, and scientific values that have been designated for conservation purposes (USBLM 2016)."
TerrestrialConnectivityRank.r,Terrestrial Connectivity Rank,"A ranking (1-5) of California land within the study area based on connectivity, where 5= Irreplaceable and Essential Corridors, 4= Conservation Planning Linkages, 3= Connections with Implementation Flexibility, 2= Large natural habitat areas, and 1= Limited connectivity opportunity (California Department of Fish and Wildlife Areas of Conservation Emphasis Project)."
TCA_HabitatLinkages.r,Desert Tortoise Conservation Areas Habitat Linkages,"The desert tortoise conservation areas (TCAs) as identified in the USFWS recovery plan, least cost pathway linkages between TCAs mapped by the USFWS Desert Tortoise Recovery Office and the University of Redlands, and high priority habitat for the desert tortoise within the study area."
BLMConservationDesignations.r,BLM LUPA Conservation Designations,"The location of Areas of Critical Environmental Concern (including California Desert National Conservation Lands) and Wildlife Allocations on BLM land, which have been designated for biological, cultural, and other natural resource protection. These conservation lands connect existing protected areas to larger landscapes (USBLM 2016)."
Railroads.r,Railroads,The location of all railroads within the study area (UCLA 2015).
Roads.r,Roads,The location of all roads and highways within the study area (UCLA 2015).
OHV.r,OHV Routes,The location of all off-highway vehicles routes within the study area (Owlshead GPS project). 
Transmissionlines.r,Transmisson Lines,The layout for transmission lines within the DRECP boundary (Conservation Biology Institute).
RenewableEnergy.r,BLM LUPA Renewable Energy Designations,The location of Development Focus Areas (DFAs) and Variance Process Lands (VPLs) within the DRECP. DFAs represent land designated for renewable energy development and associated activity and VPLs represent land where renewable energy may be considered and could be approved without a plan amendment (USBLM 2016).
RecreationalDesignations.r,BLM LUPA Recreation Designations,"The location of Special Recreation Management Areas (SRMAs) and Extensive Recreation Management Areas (ERMAs), two types of recreation management areas, on BLM land within California inside the buffer zone. ERMAs without conservation allocation overlays are available for renewable energy development (USBLM 2016)."
GeneralPublicLands.r,BLM LUPA General Public Lands, BLM lands without fixed land allocation or designation that are available for renewable energy use within the DRECP (USBLM 2016). 
Landuse.r,Land Use,"The ownership of land found within the study area. This includes private land, tribal land and the managing groups of state (e.g. State Fish and Wildlife, State Parks and Recreation) and federal lands (e.g. Bureau of Land Management, National Park Service) (USGS Gap Analysis Project 2022)."
DRECPbaselayers.r,DRECP Base Layers,"An inventory of legislatively and legally protected areas, military lands, military expansion mitigation lands,tribal lands and open off-highway vehicle (OHV) lands located within the DRECP boundary as well as a small portion of CA located outside of the DRECP boundary but still within the study area (USBLM 2016)."
NationalTrails.r,National Trails,Existing national trails designations within the DRECP boundary (Conservation Biology Institute). 
